"jetz name"	"freq.numbers"	"min.prey"	"max.prey"	"mass"	"masslog"	"min.prey.log"	"max.prey.log"	"estimated_min_prey"	"estimated_max_prey"
"261"	"Falco_sparverius"	2	"small birds"	"85"	114.61	4.74153506050861	NA	4.44265125649032	4.99515720129989	104.067253581968
"262"	"Falco_subbuteo"	2	"15"	"83"	208.170000000001	5.33835505357957	2.70805020110221	4.4188406077966	9.53681704434304	165.484301976991
"263"	"Falco_subniger"	1	"24"	"1060"	776.039999999998	6.6542040652465	3.17805383034795	6.96602418710611	39.684573457146	460.141109207434
"264"	"Falco_tinnunculus"	2	"small birds"	"350"	183.209999999999	5.21063303590315	NA	5.85793315448346	8.30423131591012	149.846707764113
"269"	"Geococcyx_californianus"	2	"small birds"	"small birds"	375.999999999998	5.92958914338989	NA	NA	18.0979382454233	262.007739215881
"270"	"Geranoaetus_melanoleucus"	1	NA	"1280"	2378.61999999999	7.7742757665652	NA	7.15461535691366	133.570391003431	1098.86714740203
"273"	"Glaucidium_bolivianum"	2	"small birds"	"small birds"	62.9500000000003	4.14234076049036	NA	NA	2.60962171353479	65.3235821549843
"274"	"Glaucidium_brasilianum"	2	"small birds"	"58"	75.1000000000001	4.31882055877009	NA	4.06044301054642	3.15955726091716	74.9267066435947
"276"	"Glaucidium_brodiei"	0	"small birds"	"small birds"	59.3900000000001	4.08412586202777	NA	NA	2.45009273901822	62.4339636250477
"277"	"Glaucidium_californicum"	2	"small birds"	"175"	67.4999999999997	4.21212759787848	NA	5.16478597392351	2.81460961829811	68.9643927000923
"280"	"Glaucidium_capense"	1	"small birds"	"small birds"	122	4.80402104473326	NA	NA	5.34507866858195	109.245808756294
"281"	"Glaucidium_castaneum"	1	"small birds"	"small birds"	99.9999999999999	4.60517018598809	NA	NA	4.3090144651395	93.6024682954414
"289"	"Glaucidium_jardinii"	1	"small birds"	"small birds"	66.8999999999998	4.20319896713418	NA	NA	2.78751036811891	68.4874922822419
"292"	"Glaucidium_nana"	2	NA	"160"	73.6999999999999	4.30000279919529	NA	5.07517381523383	3.09578565050802	73.8388878440629
"294"	"Glaucidium_palmarum"	1	"small birds"	"small birds"	45.7000000000001	3.82209829790016	NA	NA	1.84449036022287	50.9306942779055
"295"	"Glaucidium_passerinum"	1	NA	"76"	57.8700000000001	4.05819911558575	NA	4.33073334028633	2.38221961326532	61.1885182961625
"297"	"Glaucidium_peruanum"	2	"small birds"	"small birds"	62.4099999999999	4.13372551894595	NA	NA	2.5853738833885	64.8876607414165
"306"	"Gymnorhina_tibicen"	2	"small birds"	"small birds"	284.870000000001	5.65203293585412	NA	NA	13.3972428017037	211.169638625407
"308"	"Gypohierax_angolensis"	2	NA	"340"	1600	7.37775890822787	NA	5.82894561761021	86.9191508197315	807.43978646217
"313"	"Haliaeetus_albicilla"	2	"690"	"8000"	4729.27	8.4615261355372	6.5366915975913	8.98719682066197	281.267549397224	1874.60844425638
"314"	"Haliaeetus_leucocephalus"	2	"85"	"3480"	4700.58	8.45544118433979	4.44265125649032	8.15478757276852	279.419135768494	1865.76411229292
"315"	"Haliaeetus_leucogaster"	1	"400"	"312"	2827.01000000001	7.94697489500605	5.99146454710798	5.74300318780948	161.057052037307	1256.7120059053
"316"	"Haliaeetus_leucoryphus"	2	"825"	"2417"	2885.92	7.96759901892189	6.71538338633468	7.79028238070348	164.696792177041	1277.01781964017
"317"	"Haliaeetus_pelagicus"	2	NA	NA	7756.99	8.95634965133186	NA	NA	480.81272148702	2753.76413373078
"318"	"Haliaeetus_sanfordi"	2	"340"	"340"	1980	7.59085212368858	5.82894561761021	5.82894561761021	109.494891557288	952.872524686323
"322"	"Haliastur_sphenurus"	2	"10"	"5678"	752.990000000002	6.62405194749923	2.30258509299405	8.64435433703292	38.4089641461156	449.483639714217
"323"	"Hamirostra_melanosternon"	2	"small birds"	"340"	1196	7.08673793451058	NA	5.82894561761021	63.4111295759013	643.995427313737
"324"	"Harpagus_diodon"	2	"small birds"	"small birds"	200.000000000001	5.29831736654804	NA	NA	9.13192493014867	160.414274798735
